Lavoy Allen,per_poss.2016,26,IND,NBA,PF,6,3,51,3.2,10.6,0.3,0,0,,3.2,10.6,0.3,0,0,,4.2,10.6,14.8,2.1,1.1,1.1,1.1,2.1,6.4,,85,102
Lavoy Allen,per_poss.2017,27,IND,NBA,PF,3,0,11,0,0,,0,0,,0,0,,0,0,,0,9.2,9.2,0,0,0,4.6,0,0,,0,123
Al-Farouq Aminu,per_poss.2015,24,DAL,NBA,SF,5,2,150,5.3,9.7,0.548,2.2,3.5,0.636,3.1,6.3,0.5,4.7,6,0.789,4.4,6.9,11.3,1.9,3.1,2.5,1.9,4.7,17.6,,138,106
Al-Farouq Aminu,per_poss.2016,25,POR,NBA,SF,11,11,372,7.5,17.2,0.438,3.8,9.4,0.4,3.8,7.8,0.483,2.8,3.9,0.724,3.1,9.7,12.7,2.7,1.1,1.3,2.8,4.2,21.6,,110,109
Al-Farouq Aminu,per_poss.2017,26,POR,NBA,PF,4,0,113,7.1,15.4,0.459,2.9,7.1,0.412,4.2,8.3,0.5,2.9,4.6,0.636,2.1,8.7,10.8,1.7,1.2,1.7,3.7,3.7,19.9,,100,116
Al-Farouq Aminu,per_poss.2018,27,POR,NBA,PF,4,4,131,10,19.3,0.519,4.8,11.1,0.433,5.2,8.2,0.636,0.7,0.7,1,4.5,8.9,13.4,1.9,1.5,0.7,2.2,3,25.6,,126,116
Al-Farouq Aminu,per_poss.2019,28,POR,NBA,PF,16,16,399,4.8,13.7,0.349,1.9,6.4,0.294,2.9,7.3,0.397,3.4,4.5,0.75,3.6,8.9,12.5,2.6,1.1,1.3,2,4.3,14.8,,104,111
Justin Anderson,per_poss.2016,22,DAL,NBA,SF,5,1,95,9.4,20.4,0.459,2.2,7.2,0.308,7.2,13.2,0.542,5,7.7,0.643,5,6.1,11,3.9,2.2,1.7,2.8,6.6,25.9,,110,119
Justin Anderson,per_poss.2018,24,PHI,NBA,SF,7,0,33,4.5,11.9,0.375,3,10.4,0.286,1.5,1.5,1,0,0,,1.5,11.9,13.4,0,1.5,0,3,11.9,11.9,,83,105
Kyle Anderson,per_poss.2016,22,SAS,NBA,SF,10,0,129,3.2,10.1,0.32,0.4,1.2,0.333,2.8,8.9,0.318,2.4,2.8,0.857,0.8,8.9,9.7,2.8,2.4,1.2,1.6,4.5,9.3,,87,99
Kyle Anderson,per_poss.2017,23,SAS,NBA,SF,15,1,195,9.5,16.9,0.563,0.8,2.6,0.3,8.7,14.3,0.611,2.1,2.9,0.727,3.2,9,12.1,6.6,2.6,0.5,1.8,2.1,21.9,,128,110
Kyle Anderson,per_poss.2018,24,SAS,NBA,SF,5,1,73,8.5,14.1,0.6,0,2.8,0,8.5,11.3,0.75,2.1,2.8,0.75,3.5,5.6,9.2,2.1,4.2,0.7,2.1,7,19,,117,108
Ryan Anderson,per_poss.2010,21,ORL,NBA,PF,9,0,89,5.6,18.1,0.31,2.5,8.7,0.286,3.1,9.4,0.333,0.6,0.6,1,5,14.3,19.3,1.9,1.2,1.2,3.1,7.5,14.3,,86,97
Ryan Anderson,per_poss.2011,22,ORL,NBA,PF,6,0,147,3,11.3,0.267,2.3,7.5,0.3,0.8,3.8,0.2,2.3,2.3,1,3.8,6.4,10.2,1.1,1.9,0.4,0.4,6,10.6,,109,101
Ryan Anderson,per_poss.2012,23,ORL,NBA,PF,5,5,172,4.8,14.2,0.341,3.9,9.7,0.4,1,4.5,0.214,1.9,2.3,0.857,2.9,4.5,7.4,1.3,1,0.6,2.9,7.1,15.5,,95,110
Ryan Anderson,per_poss.2015,26,NOP,NBA,PF,4,0,95,8.8,19.8,0.444,2.7,6.6,0.417,6,13.2,0.458,3.3,3.3,1,3.8,5.5,9.3,4.9,0,1.1,2.2,6.6,23.6,,116,120
Ryan Anderson,per_poss.2017,28,HOU,NBA,PF,11,9,336,5.3,13.6,0.391,2.5,8.9,0.283,2.8,4.7,0.594,2.1,2.4,0.875,2.2,6.2,8.4,1,0.6,0.3,1.3,3.6,15.3,,107,113
Ryan Anderson,per_poss.2018,29,HOU,NBA,PF,11,0,95,3.7,10.6,0.35,2.6,7.9,0.333,1.1,2.6,0.4,0,0,,2.1,4.8,6.9,3.2,1.6,0.5,1.6,5.3,10,,102,110
Giannis Antetokounmpo,per_poss.2015,20,MIL,NBA,SG,6,6,201,6.7,18.2,0.366,0,0.3,0,6.7,17.9,0.371,4.4,5.9,0.739,3.1,7.7,10.8,4.1,0.8,2.3,2.8,4.6,17.7,,89,106
Giannis Antetokounmpo,per_poss.2017,22,MIL,NBA,SF,6,6,243,13.1,24.5,0.536,0.9,2.2,0.4,12.2,22.3,0.549,5.5,10,0.543,2.2,10.3,12.4,5.2,2.8,2.2,4.4,4.6,32.5,,104,98
Giannis Antetokounmpo,per_poss.2018,23,MIL,NBA,PF,7,7,280,12.8,22.5,0.57,0.7,2.6,0.286,12.1,19.9,0.607,7.1,10.2,0.691,1.5,11,12.4,8.2,1.9,1.1,3.2,5.2,33.4,,122,106
Giannis Antetokounmpo,per_poss.2019,24,MIL,NBA,PF,15,15,514,12,24.4,0.492,1.7,5.1,0.327,10.4,19.3,0.536,10,15.7,0.637,3.5,13.7,17.2,6.8,1.6,2.8,4.7,4.5,35.7,,111,97
Carmelo Anthony,per_poss.2004,19,DEN,NBA,SF,4,4,143,7.7,23.5,0.328,0.7,4,0.182,7,19.5,0.358,5.9,7.3,0.8,2.6,9.6,12.1,4,1.8,0,6.2,4,22,,81,102
Carmelo Anthony,per_poss.2005,20,DEN,NBA,SF,5,5,180,10.3,24.4,0.422,0,0.3,0,10.3,24.1,0.427,7.6,9.4,0.813,4.1,3.8,7.9,2.9,0.9,0.3,3.8,5.9,28.2,,99,112
Carmelo Anthony,per_poss.2006,21,DEN,NBA,SF,5,5,193,8.9,26.8,0.333,0,1.1,0,8.9,25.7,0.347,10.5,14.1,0.75,3.2,5.7,8.9,3.8,1.1,0.3,4.1,5.4,28.4,,91,105
Carmelo Anthony,per_poss.2007,22,DEN,NBA,SF,5,5,210,12.3,25.6,0.48,2.3,4.7,0.5,9.9,20.9,0.475,8.1,10.2,0.795,4.7,6.5,11.2,1.6,1.3,0,5,3.1,35,,111,109
Carmelo Anthony,per_poss.2008,23,DEN,NBA,SF,4,4,146,10.8,29.7,0.364,0.7,2.7,0.25,10.1,27,0.375,8.1,9.8,0.828,6.4,6.4,12.8,2.7,0.7,0.3,4.1,5.7,30.4,,99,120
Carmelo Anthony,per_poss.2009,24,DEN,NBA,SF,16,16,612,12.4,27.3,0.453,2,5.6,0.364,10.4,21.7,0.477,10.1,12.2,0.826,2.2,5.7,7.9,5.5,2.4,0.8,3.1,5.1,36.9,,116,108
Carmelo Anthony,per_poss.2010,25,DEN,NBA,SF,6,6,254,12.6,27.2,0.464,1.2,3.7,0.316,11.4,23.4,0.487,9.8,11.2,0.877,2.8,7.3,10,3.9,2.4,0.6,4.1,5.1,36.2,,112,114
Carmelo Anthony,per_poss.2011,26,NYK,NBA,SF,4,4,156,11.1,29.5,0.375,3,8.7,0.346,8.1,20.8,0.387,9.7,11.4,0.853,4.4,9.4,13.8,6.4,1.7,1,4.4,5.4,34.9,,108,106
Carmelo Anthony,per_poss.2012,27,NYK,NBA,SF,5,5,204,14.1,33.6,0.419,1.1,4.9,0.222,13,28.7,0.453,8.4,11.1,0.756,3.5,7.6,11.1,3,1.6,0.3,3.8,5.7,37.6,,103,110
Carmelo Anthony,per_poss.2013,28,NYK,NBA,PF,12,12,481,14.5,35.7,0.406,2,6.6,0.298,12.6,29.1,0.431,8.9,10,0.885,1.3,7.8,9.1,2.2,1.5,0.2,3.6,5.3,39.9,,100,100
Carmelo Anthony,per_poss.2018,33,OKC,NBA,PF,6,6,194,6.8,18.2,0.375,1.5,7.1,0.214,5.3,11.1,0.477,2.8,3.8,0.733,0.8,7.8,8.6,0.5,2.5,1,1.5,3.5,18,,90,106
OG Anunoby,per_poss.2018,20,TOR,NBA,SF,10,10,238,6.2,11.1,0.558,2.8,6.2,0.448,3.4,4.9,0.696,1.7,2.3,0.727,1.9,2.6,4.5,1.5,1.3,0.9,1.3,4.9,16.8,,132,119
Trevor Ariza,per_poss.2007,21,ORL,NBA,SG,4,0,47,6,19.1,0.313,0,0,,6,19.1,0.313,1.2,4.8,0.25,6,4.8,10.8,6,1.2,0,4.8,10.8,13.1,,74,115
Trevor Ariza,per_poss.2008,22,LAL,NBA,SF,8,0,45,8.1,13.8,0.583,1.2,4.6,0.25,6.9,9.2,0.75,2.3,4.6,0.5,3.5,9.2,12.7,1.2,1.2,1.2,1.2,8.1,19.6,,123,107
Trevor Ariza,per_poss.2009,23,LAL,NBA,SF,23,23,722,6.7,13.5,0.497,2.9,6.1,0.476,3.8,7.4,0.515,2.6,4.7,0.563,1.6,5.5,7.1,3.9,2.6,0.7,2.8,5.3,19,,114,103
Trevor Ariza,per_poss.2011,25,NOH,NBA,SF,6,6,241,8.2,19.8,0.412,1.6,4.9,0.333,6.5,14.9,0.438,3.7,5.1,0.727,1.6,7.5,9.1,4.7,1.9,0.7,1.6,3.7,21.7,,103,112
Trevor Ariza,per_poss.2014,28,WAS,NBA,SF,11,11,407,7,14.5,0.481,3.4,7.5,0.446,3.6,7,0.519,2.8,3.6,0.778,2.8,10.3,13.2,2.6,2.3,0.5,1.9,3.5,20.2,,123,99
Trevor Ariza,per_poss.2015,29,HOU,NBA,SF,17,17,655,5.4,12.7,0.426,2.6,6.9,0.375,2.8,5.8,0.488,2.7,3,0.905,1.3,6.6,7.9,3.2,2.2,0.1,1.7,3.7,16.2,,115,109
